Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;3,006,253.00;1,160,768.75;261,972.25;9,081,274.75;559,673.50;97,758.25;8,201,767.25;11,800,178.50;6,387,684.50;1,405,692.50;862,461.00;5,424,207.00
Feb 1, 2015;Mar 1, 2015;2,701,292.75;866,154.00;282,760.00;4,865,703.75;1,371,004.25;83,894.50;7,498,821.50;11,249,758.00;7,886,900.00;1,615,355.25;756,012.75;5,815,809.75
Mar 1, 2015;Apr 1, 2015;2,945,423.25;1,026,580.50;432,080.75;6,491,865.50;2,858,577.25;71,699.50;7,308,647.50;12,177,191.25;7,320,070.50;1,359,916.25;900,734.75;5,460,914.50
Apr 1, 2015;May 1, 2015;2,855,391.50;1,242,024.00;378,500.25;4,624,380.50;4,435,389.00;95,564.25;6,858,361.00;10,200,744.50;5,994,326.25;850,204.00;823,908.25;4,534,967.25
May 1, 2015;Jun 1, 2015;2,944,932.75;1,528,050.00;565,152.75;4,697,643.00;4,411,590.00;80,552.50;6,930,788.00;8,935,801.50;4,295,094.75;866,141.50;898,907.25;3,889,602.50
Jun 1, 2015;Jul 1, 2015;2,750,167.00;1,511,476.50;481,568.25;3,613,536.25;4,552,823.25;78,796.00;6,255,287.25;9,783,882.00;5,766,222.50;785,123.75;876,902.75;4,372,239.00
Jul 1, 2015;Aug 1, 2015;2,806,556.75;1,399,178.50;707,907.25;5,155,261.25;4,917,503.00;71,349.50;5,087,530.00;11,028,701.25;6,224,533.50;1,135,721.25;858,051.50;4,329,391.25
Aug 1, 2015;Sep 1, 2015;2,782,948.00;1,211,468.00;570,979.25;3,287,051.25;4,612,571.25;65,168.00;7,067,481.50;11,690,166.00;6,408,935.50;854,289.75;803,134.75;3,290,550.75
Sep 1, 2015;Oct 1, 2015;2,786,036.50;1,081,215.50;768,401.50;4,779,230.25;3,226,526.00;63,932.00;7,292,428.50;12,245,022.75;7,751,897.25;880,400.00;731,724.00;4,181,930.00
Oct 1, 2015;Nov 1, 2015;2,954,435.75;997,070.25;888,200.50;3,094,880.75;1,946,347.25;67,705.00;6,714,339.75;12,858,702.50;9,756,305.25;1,759,365.50;842,649.50;4,321,350.50
Nov 1, 2015;Dec 1, 2015;2,884,210.75;811,490.75;1,293,592.50;9,260,816.25;1,136,483.75;68,340.75;7,465,133.50;11,069,426.25;7,112,675.75;1,901,774.25;791,342.50;3,878,106.25
Dec 1, 2015;Jan 1, 2016;3,430,277.75;883,867.25;1,503,263.00;10,090,449.75;850,929.50;100,869.50;7,682,960.25;10,758,163.25;6,234,036.25;1,811,953.75;791,388.50;3,469,493.75
Jan 1, 2016;Feb 1, 2016;3,417,811.75;973,685.00;1,386,327.50;8,019,670.75;654,314.25;134,546.25;7,813,364.75;11,762,658.25;8,065,580.50;2,456,384.00;769,005.25;3,954,738.50
Feb 1, 2016;Mar 1, 2016;3,264,543.50;1,128,392.25;1,156,111.00;8,740,726.50;1,257,146.75;117,662.00;7,218,784.25;10,601,949.75;6,528,957.25;1,684,999.00;713,561.75;3,588,929.75
Mar 1, 2016;Apr 1, 2016;3,493,303.50;1,360,482.50;853,293.50;5,183,700.75;2,414,153.25;141,822.50;7,687,225.50;11,022,928.25;7,819,393.25;1,506,571.00;667,735.50;4,823,185.25
Apr 1, 2016;May 1, 2016;3,333,708.25;1,622,341.00;887,579.00;5,088,403.25;3,751,535.50;120,492.50;5,127,455.25;10,742,445.75;6,669,303.00;1,130,960.75;657,759.75;3,315,025.50
May 1, 2016;Jun 1, 2016;3,354,054.00;1,876,763.00;936,948.25;5,207,618.50;4,716,765.25;112,124.25;4,869,631.25;10,058,851.25;5,326,789.00;1,188,229.50;682,145.25;3,190,201.50
Jun 1, 2016;Jul 1, 2016;3,141,854.25;1,905,971.00;566,127.75;2,789,261.50;4,741,340.50;94,769.25;5,967,674.75;9,580,801.75;6,660,849.00;1,116,914.25;720,272.25;3,234,624.50
Jul 1, 2016;Aug 1, 2016;3,201,577.25;2,084,538.75;796,116.25;3,931,996.00;4,942,811.50;80,876.50;6,138,031.75;10,626,626.50;5,881,945.50;1,152,714.00;694,922.50;3,282,899.25
Aug 1, 2016;Sep 1, 2016;3,248,125.25;2,029,584.00;879,303.75;3,914,800.75;4,719,893.25;94,940.75;7,014,120.75;10,533,579.25;5,409,507.00;1,767,616.75;709,623.25;3,102,854.00
Sep 1, 2016;Oct 1, 2016;3,132,994.00;1,584,818.75;710,972.25;3,507,530.00;3,848,414.00;97,162.00;6,844,059.50;11,008,452.25;6,590,782.50;2,379,839.75;673,271.50;3,738,077.00
Oct 1, 2016;Nov 1, 2016;3,342,691.25;1,188,015.25;1,304,622.25;4,343,989.75;1,679,735.50;123,847.75;7,831,162.75;11,808,651.75;7,079,270.75;2,736,050.25;708,544.00;5,258,950.50
Nov 1, 2016;Dec 1, 2016;3,285,180.75;1,184,424.25;1,316,922.50;6,669,801.75;1,020,888.00;140,390.25;7,424,050.25;11,553,166.25;7,494,497.75;2,626,356.75;737,186.00;4,975,011.00
Dec 1, 2016;Jan 1, 2017;3,529,615.25;1,136,843.75;1,298,814.00;7,877,245.75;791,938.50;144,829.00;6,306,905.50;11,075,485.75;7,363,088.50;3,142,160.25;853,586.25;4,781,830.25
Jan 1, 2017;Feb 1, 2017;3,538,847.75;857,085.75;1,230,811.25;6,537,027.50;798,422.25;143,007.75;5,724,510.75;11,680,618.25;9,528,848.25;3,726,353.75;943,923.50;1,116,391.50
Feb 1, 2017;Mar 1, 2017;3,309,601.00;893,765.25;1,899,418.75;7,974,597.25;1,484,969.00;169,841.00;4,543,553.50;10,507,497.25;7,034,393.75;2,522,128.00;728,857.75;1,003,859.50
Mar 1, 2017;Apr 1, 2017;3,570,500.50;1,237,295.25;1,487,019.75;7,844,275.25;3,230,598.50;168,431.50;4,850,962.25;11,530,155.25;5,885,619.25;2,191,162.75;850,219.75;1,067,299.00
Apr 1, 2017;May 1, 2017;3,422,009.00;1,155,622.50;1,395,689.25;6,688,391.75;3,856,853.75;158,481.25;4,764,289.00;10,910,745.75;4,581,378.50;1,787,657.50;800,464.00;1,002,279.75
May 1, 2017;Jun 1, 2017;3,433,313.25;1,510,106.00;1,207,361.00;4,434,810.75;5,120,312.25;148,759.25;5,649,988.50;10,874,074.00;5,433,327.25;1,773,670.50;796,230.50;976,241.25
Jun 1, 2017;Jul 1, 2017;3,213,339.25;1,502,296.50;1,248,287.50;5,856,511.25;5,366,860.50;118,589.25;6,348,389.50;10,125,064.75;3,829,719.25;1,655,950.75;832,773.00;861,530.50
Jul 1, 2017;Aug 1, 2017;3,282,490.25;1,512,125.50;934,912.00;4,559,375.00;4,886,339.50;118,032.75;5,345,076.75;10,364,437.75;4,499,046.00;2,176,392.25;659,757.00;922,144.25
Aug 1, 2017;Sep 1, 2017;3,285,939.00;1,545,120.00;1,124,716.50;4,385,616.50;4,602,787.75;131,727.00;7,091,594.75;11,198,091.00;4,013,503.50;1,254,043.00;715,258.25;896,811.75
Sep 1, 2017;Oct 1, 2017;2,993,543.00;1,492,583.50;1,009,553.75;5,302,283.50;3,079,287.25;127,616.50;6,388,132.00;10,481,485.25;5,796,292.75;1,638,236.50;740,160.50;993,301.00
Oct 1, 2017;Nov 1, 2017;3,290,736.00;1,293,249.00;2,210,471.75;10,322,949.50;2,130,316.50;143,833.25;7,361,700.00;10,328,134.75;4,263,341.50;1,884,663.75;825,513.25;993,274.50
Nov 1, 2017;Dec 1, 2017;3,405,400.00;1,303,029.75;1,642,971.50;8,663,095.00;831,017.50;159,841.75;6,905,516.00;11,160,868.00;6,268,283.75;2,701,069.25;798,548.75;1,109,990.00
Dec 1, 2017;Jan 1, 2018;3,582,670.50;1,288,137.00;2,022,978.50;12,621,117.50;495,416.25;166,225.00;7,240,263.50;10,125,424.75;4,871,755.75;2,269,040.00;595,732.75;1,070,069.00
Jan 1, 2018;Feb 1, 2018;3,594,847.50;1,400,990.25;1,880,622.75;12,507,122.25;730,139.50;164,045.50;6,694,349.25;11,104,432.75;5,161,643.75;4,037,194.00;935,380.75;1,022,971.00
Feb 1, 2018;Mar 1, 2018;3,260,232.75;1,182,997.25;1,539,511.75;6,388,193.25;1,830,494.50;161,600.25;6,094,708.50;11,190,685.25;8,061,131.75;5,065,451.50;757,500.75;857,724.00
Mar 1, 2018;Apr 1, 2018;3,454,432.25;1,142,401.25;1,617,563.75;8,998,946.50;2,703,915.50;165,004.75;6,175,820.00;11,291,185.25;7,873,984.25;4,127,735.50;834,574.75;919,663.00
Apr 1, 2018;May 1, 2018;3,218,788.25;1,436,750.00;1,592,135.75;7,305,910.75;4,837,045.25;139,598.00;5,181,364.25;10,198,546.50;4,166,418.00;2,221,443.50;801,749.75;909,752.75
May 1, 2018;Jun 1, 2018;3,364,742.25;1,713,227.75;1,300,822.00;5,915,994.00;5,931,478.75;139,682.50;4,872,705.00;10,157,978.50;3,782,751.50;2,094,063.25;806,281.50;850,369.50
Jun 1, 2018;Jul 1, 2018;3,194,599.25;1,669,201.50;1,124,236.75;4,614,405.75;5,337,322.00;118,128.50;5,698,557.50;11,033,451.50;4,614,135.50;2,512,163.00;624,156.50;672,832.25
Jul 1, 2018;Aug 1, 2018;3,195,829.75;1,418,501.75;759,901.00;3,636,273.75;6,166,898.75;113,942.25;6,157,162.50;11,530,004.00;6,234,897.50;3,350,729.00;498,642.50;806,120.00
Aug 1, 2018;Sep 1, 2018;3,246,347.75;1,248,237.25;1,076,469.25;4,990,752.25;5,183,464.25;107,845.50;6,524,331.50;10,972,619.50;5,460,826.75;3,127,745.25;611,949.50;1,079,378.00
Sep 1, 2018;Oct 1, 2018;3,120,179.25;1,184,252.50;1,783,010.75;6,128,708.25;4,069,317.00;104,338.75;5,600,416.50;10,411,678.50;5,979,539.50;2,892,267.50;713,332.00;1,155,649.50
Oct 1, 2018;Nov 1, 2018;3,391,405.75;1,037,143.50;2,006,668.25;8,714,989.75;2,748,584.00;106,571.50;5,745,279.75;10,665,995.75;7,041,724.75;3,812,474.50;792,993.50;1,219,095.25
Nov 1, 2018;Dec 1, 2018;3,490,431.00;990,254.50;1,973,123.50;8,009,699.00;1,170,955.50;109,047.25;6,325,711.25;10,634,913.25;7,495,167.75;5,033,023.50;689,863.50;1,267,755.00
Dec 1, 2018;Jan 1, 2019;3,557,156.50;1,118,122.25;2,414,350.00;12,058,801.75;524,330.75;101,165.00;6,771,251.00;9,138,482.00;5,673,041.50;4,603,919.00;813,069.50;1,323,816.75
Jan 1, 2019;Feb 1, 2019;3,550,046.75;1,200,910.75;2,213,086.50;12,522,275.25;728,156.75;136,702.50;6,821,064.00;9,862,384.25;7,549,348.25;5,740,661.50;824,704.25;1,222,620.50
Feb 1, 2019;Mar 1, 2019;3,215,899.50;1,032,343.75;1,938,096.25;8,892,392.75;2,184,288.25;137,206.75;6,196,593.00;9,835,908.50;5,566,684.00;4,474,908.25;655,388.50;1,207,127.00
Mar 1, 2019;Apr 1, 2019;3,481,646.50;1,384,887.50;2,540,870.25;13,696,172.50;3,020,968.75;145,525.50;6,713,072.25;8,298,238.75;3,119,376.25;3,647,710.75;788,373.00;1,159,437.75
Apr 1, 2019;May 1, 2019;3,324,551.25;1,359,297.25;1,707,845.50;7,284,558.75;5,015,643.00;132,009.25;5,692,459.75;9,075,669.75;3,411,070.00;3,643,917.25;753,675.00;1,029,269.25
May 1, 2019;Jun 1, 2019;3,393,611.75;1,543,969.00;1,789,633.75;6,411,664.00;5,019,334.00;120,702.25;4,610,711.25;8,654,967.00;3,494,879.50;3,367,003.50;650,016.25;1,089,072.25
Jun 1, 2019;Jul 1, 2019;3,167,918.00;1,659,191.50;1,457,872.75;5,099,701.00;6,461,965.75;95,833.25;4,572,589.25;7,008,983.25;2,584,863.50;3,681,617.50;732,094.75;861,580.75
Jul 1, 2019;Aug 1, 2019;3,070,883.00;1,686,747.00;1,674,580.00;4,851,747.75;5,742,568.25;113,185.25;5,439,284.75;8,156,552.75;3,258,013.00;4,812,771.50;627,044.75;886,599.00
Aug 1, 2019;Sep 1, 2019;3,040,474.50;1,671,588.25;1,420,358.00;4,480,606.25;5,275,760.50;110,827.00;5,477,134.50;7,963,573.50;2,870,519.00;4,761,704.00;680,880.50;1,114,498.50
Sep 1, 2019;Oct 1, 2019;2,913,078.25;1,318,253.75;2,052,798.00;7,125,740.75;3,904,711.25;119,149.50;5,786,838.25;7,732,347.25;2,492,701.25;4,864,777.00;627,388.00;1,048,792.25
Oct 1, 2019;Nov 1, 2019;3,363,461.00;1,266,310.00;2,334,587.50;9,338,036.25;2,412,895.25;138,114.25;6,748,427.00;8,435,242.50;3,768,657.50;5,829,798.75;793,108.25;1,173,249.25
Nov 1, 2019;Dec 1, 2019;3,361,656.75;1,205,944.75;2,224,609.50;7,854,295.00;1,027,432.25;146,075.50;6,460,100.75;10,041,708.25;6,042,079.50;5,268,347.50;669,275.75;1,164,676.25
Dec 1, 2019;Jan 1, 2020;3,595,358.25;1,141,777.25;3,028,489.00;12,171,117.75;913,235.00;162,185.00;6,523,889.50;7,663,102.25;3,657,092.75;4,526,487.75;808,947.75;1,268,319.00
Jan 1, 2020;Feb 1, 2020;3,584,790.50;1,050,255.00;3,280,590.50;12,634,957.00;1,083,114.75;161,969.75;5,811,035.75;7,986,459.50;4,578,941.00;6,527,666.00;910,279.75;1,244,904.75
Feb 1, 2020;Mar 1, 2020;3,323,290.75;1,246,883.25;2,995,582.25;17,187,771.00;1,679,636.50;145,201.50;5,164,492.75;5,044,713.75;2,356,824.25;4,726,412.00;922,133.00;1,000,589.25
Mar 1, 2020;Apr 1, 2020;3,513,606.50;1,281,694.00;2,627,413.50;11,514,760.50;4,119,597.00;154,650.75;5,400,916.25;6,151,765.50;2,719,805.50;4,887,004.25;983,767.50;1,126,405.75
Apr 1, 2020;May 1, 2020;3,330,503.75;1,136,244.25;1,832,053.00;6,971,017.25;6,384,310.75;129,625.50;4,726,388.25;4,313,587.25;1,321,970.50;3,823,315.00;1,020,853.00;1,043,896.50
May 1, 2020;Jun 1, 2020;3,447,324.75;1,422,533.50;1,567,378.25;6,113,286.75;6,226,952.00;131,174.50;4,285,016.50;4,311,633.00;1,583,808.25;4,490,658.25;959,216.75;1,105,483.75
Jun 1, 2020;Jul 1, 2020;3,165,700.25;1,630,928.75;1,441,552.00;4,965,069.50;5,698,328.25;103,986.25;4,659,172.25;5,882,842.50;1,441,424.25;5,578,799.75;794,026.50;776,530.25
Jul 1, 2020;Aug 1, 2020;3,246,063.50;1,660,735.25;1,565,520.25;5,461,704.00;6,246,936.75;109,684.25;4,229,939.75;6,366,929.25;1,579,624.75;6,290,186.50;895,846.75;985,705.25
Aug 1, 2020;Sep 1, 2020;3,182,440.50;1,485,637.25;1,578,507.50;5,136,716.00;5,413,069.50;99,228.50;5,593,770.00;7,814,266.00;2,169,872.25;5,718,010.50;898,421.75;1,018,625.75
Sep 1, 2020;Oct 1, 2020;3,130,750.00;1,408,659.25;1,707,981.50;4,616,155.00;4,621,951.25;122,388.25;5,295,337.75;7,882,319.75;4,071,897.25;5,403,765.50;818,832.00;1,032,059.25
Oct 1, 2020;Nov 1, 2020;3,352,968.75;1,408,254.75;3,092,851.50;10,799,597.50;2,143,222.75;137,061.25;5,135,208.75;9,243,655.00;3,367,480.25;5,323,656.75;880,252.50;1,164,712.25
Nov 1, 2020;Dec 1, 2020;3,267,976.25;1,173,208.50;2,573,274.50;8,637,458.00;1,496,017.50;146,819.00;4,782,573.50;9,569,487.00;4,965,565.50;7,229,822.75;854,598.00;1,092,081.75
Dec 1, 2020;Jan 1, 2021;3,420,885.75;1,040,625.75;2,620,454.50;9,044,689.25;671,166.00;160,327.00;5,840,034.75;8,806,351.50;4,714,770.00;7,622,210.25;879,331.25;1,162,905.25
Jan 1, 2021;Feb 1, 2021;3,390,654.25;992,324.50;2,263,541.25;9,190,255.25;600,445.75;154,603.00;5,925,379.00;10,260,437.50;5,111,958.25;7,292,294.75;797,113.50;1,190,998.50
Feb 1, 2021;Mar 1, 2021;2,972,072.25;1,067,784.75;2,743,174.50;8,451,315.00;1,966,106.50;130,328.00;5,343,534.75;7,686,818.75;3,350,323.25;6,358,551.00;680,576.50;1,019,811.25
Mar 1, 2021;Apr 1, 2021;3,321,780.50;1,096,885.50;2,356,745.00;9,052,932.75;4,084,762.00;145,858.25;5,502,068.00;7,844,513.50;3,502,914.00;6,603,361.75;770,015.25;1,170,678.50
Apr 1, 2021;May 1, 2021;3,215,143.75;1,028,506.25;1,775,864.25;7,709,987.75;5,411,394.25;113,368.50;5,145,542.75;7,086,525.50;3,452,755.50;5,587,178.00;656,823.00;1,077,606.50
May 1, 2021;Jun 1, 2021;3,348,917.75;1,547,943.00;1,287,883.50;8,792,241.50;5,861,740.75;109,287.50;5,277,141.25;5,706,664.75;2,393,617.25;3,589,174.50;571,920.75;1,111,334.50
Jun 1, 2021;Jul 1, 2021;2,948,925.50;1,785,436.00;1,050,447.75;3,349,814.25;7,090,809.50;84,571.50;4,945,204.50;8,055,826.00;3,163,581.75;4,697,738.00;649,711.50;1,042,888.00
