Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;-;-;-;25.75;29.15;-;-;28.56;-;-;30.46;44.00;29.48;-;-;42.23;42.19
Feb 1, 2015;Mar 1, 2015;-;-;50.55;29.27;30.95;50.15;46.38;28.50;-;-;31.11;50.86;36.14;36.72;54.80;41.99;41.26
Mar 1, 2015;Apr 1, 2015;-;-;47.07;26.50;27.50;43.81;42.21;24.79;-;-;26.51;44.52;30.67;31.34;51.72;36.36;35.68
Apr 1, 2015;May 1, 2015;-;-;47.67;25.52;26.45;39.54;41.36;24.73;-;-;25.71;38.25;29.76;29.72;49.32;34.85;34.08
May 1, 2015;Jun 1, 2015;-;-;37.64;22.03;23.48;26.48;37.38;21.54;-;-;23.31;25.05;25.41;25.36;48.00;30.41;29.65
Jun 1, 2015;Jul 1, 2015;-;-;39.02;19.13;21.51;32.10;38.71;13.56;-;-;20.14;30.42;30.64;30.06;48.48;34.12;33.92
Jul 1, 2015;Aug 1, 2015;-;-;42.61;13.65;13.79;37.95;42.17;8.98;-;-;9.19;35.98;36.71;35.00;69.87;54.07;52.35
Aug 1, 2015;Sep 1, 2015;-;-;42.43;21.91;23.95;32.16;38.87;11.48;-;-;16.69;32.70;32.68;31.61;51.03;42.87;42.49
Sep 1, 2015;Oct 1, 2015;-;-;52.50;21.24;25.28;37.45;39.67;12.94;-;-;21.99;36.56;33.40;31.88;49.53;46.46;47.61
Oct 1, 2015;Nov 1, 2015;-;-;55.41;26.25;26.77;44.95;41.43;21.44;-;-;24.75;45.52;39.08;39.36;47.54;43.75;44.11
Nov 1, 2015;Dec 1, 2015;-;-;43.12;25.18;26.03;41.70;38.45;24.51;-;-;26.11;48.17;35.48;32.39;56.36;45.56;41.51
Dec 1, 2015;Jan 1, 2016;-;-;35.94;18.92;19.63;35.13;33.73;17.59;-;-;19.71;52.24;28.76;27.78;56.18;44.18;42.27
Jan 1, 2016;Feb 1, 2016;-;-;32.61;25.10;30.84;33.60;31.57;25.82;-;-;30.99;45.98;31.89;29.04;47.87;43.19;43.10
Feb 1, 2016;Mar 1, 2016;-;-;25.39;18.40;19.33;25.53;25.19;19.19;-;-;19.88;34.18;23.37;21.99;37.25;27.21;26.42
Mar 1, 2016;Apr 1, 2016;-;-;27.13;20.97;21.98;27.10;26.15;21.42;-;-;22.33;29.21;23.72;24.31;35.15;26.34;25.84
Apr 1, 2016;May 1, 2016;-;-;25.43;21.99;22.17;25.48;25.32;21.88;-;-;22.17;25.26;24.70;24.21;30.84;28.39;29.18
May 1, 2016;Jun 1, 2016;-;-;25.37;23.39;24.47;24.27;27.19;22.59;-;-;23.71;23.67;24.35;22.54;31.64;26.52;27.16
Jun 1, 2016;Jul 1, 2016;-;-;30.69;28.50;33.77;28.01;32.59;24.08;-;-;33.75;27.73;32.14;27.69;32.59;31.91;32.75
Jul 1, 2016;Aug 1, 2016;-;-;31.33;26.75;29.04;30.11;33.08;23.42;-;-;29.03;28.17;29.49;27.19;42.22;36.10;35.18
Aug 1, 2016;Sep 1, 2016;-;-;28.90;27.35;30.43;29.69;28.36;21.60;-;-;30.51;29.38;27.63;27.18;35.84;32.73;33.00
Sep 1, 2016;Oct 1, 2016;-;-;37.69;28.77;31.18;37.19;32.85;23.27;-;-;29.61;35.84;33.41;30.49;42.57;37.24;36.45
Oct 1, 2016;Nov 1, 2016;-;-;57.17;33.20;36.65;55.14;38.00;30.77;-;-;36.63;55.88;43.42;37.13;56.26;45.83;45.60
Nov 1, 2016;Dec 1, 2016;-;-;62.27;37.00;41.07;65.14;42.85;36.70;-;-;41.09;60.66;40.02;38.22;61.16;41.75;40.64
Dec 1, 2016;Jan 1, 2017;-;-;54.96;28.40;31.52;59.26;43.49;30.84;-;-;34.30;58.26;39.32;37.48;58.19;49.54;49.13
Jan 1, 2017;Feb 1, 2017;-;-;72.65;31.00;33.55;78.00;50.77;30.26;-;-;33.99;76.87;54.27;52.37;78.19;76.80;81.25
Feb 1, 2017;Mar 1, 2017;-;-;47.57;29.86;32.61;51.16;43.06;31.67;-;-;34.19;55.18;40.62;39.70;56.35;53.14;55.59
Mar 1, 2017;Apr 1, 2017;-;-;34.47;29.22;29.76;35.42;34.53;30.91;-;-;30.59;36.91;31.67;31.70;44.04;37.19;37.91
Apr 1, 2017;May 1, 2017;-;-;37.31;27.34;28.90;34.77;35.37;29.42;-;-;29.30;33.60;29.77;28.87;42.00;38.34;39.67
May 1, 2017;Jun 1, 2017;-;-;37.22;29.24;29.61;34.23;35.06;27.99;-;-;29.70;33.85;33.47;30.46;41.51;40.07;42.71
Jun 1, 2017;Jul 1, 2017;-;-;32.66;28.13;29.04;32.70;33.24;23.52;-;-;28.01;32.13;34.88;30.00;48.08;44.25;43.92
Jul 1, 2017;Aug 1, 2017;-;-;33.60;31.57;31.94;34.64;34.52;26.18;-;-;30.88;34.27;40.25;33.01;49.94;50.00;51.86
Aug 1, 2017;Sep 1, 2017;-;-;31.78;32.75;34.30;32.01;33.05;26.68;-;-;33.91;32.05;34.10;30.85;55.38;57.45;58.31
Sep 1, 2017;Oct 1, 2017;-;-;37.18;33.77;38.49;36.95;38.76;30.10;-;-;36.93;37.26;34.75;34.35;48.72;41.99;42.88
Oct 1, 2017;Nov 1, 2017;-;-;48.99;27.46;31.69;49.68;39.87;27.14;-;-;32.21;52.68;30.33;28.25;54.94;50.51;49.70
Nov 1, 2017;Dec 1, 2017;-;-;66.60;33.01;34.68;63.43;47.27;31.28;-;-;34.60;65.00;40.71;40.37;67.78;59.83;60.46
Dec 1, 2017;Jan 1, 2018;-;-;55.09;27.71;29.18;56.77;46.48;31.07;-;-;32.04;62.58;32.81;30.77;65.79;44.63;40.02
Jan 1, 2018;Feb 1, 2018;-;-;36.78;30.76;31.57;34.95;38.79;32.26;-;-;32.88;43.81;33.08;29.46;48.25;37.92;36.28
Feb 1, 2018;Mar 1, 2018;-;-;47.35;37.84;40.08;48.70;44.56;38.23;-;-;40.71;52.93;40.99;40.12;56.82;43.30;41.65
Mar 1, 2018;Apr 1, 2018;-;-;50.74;37.96;42.93;48.26;51.82;41.89;-;-;44.96;53.28;37.77;37.36;58.08;42.40;40.44
Apr 1, 2018;May 1, 2018;-;-;37.78;35.93;36.15;33.60;39.74;38.57;-;-;38.93;34.16;31.89;32.06;48.52;32.24;31.92
May 1, 2018;Jun 1, 2018;-;-;44.51;34.95;37.93;34.42;47.05;32.98;-;-;35.75;33.11;34.44;33.54;51.67;40.73;42.17
Jun 1, 2018;Jul 1, 2018;-;-;49.95;44.89;48.69;42.32;51.37;44.59;-;-;46.61;43.15;44.04;42.42;55.35;50.71;51.27
Jul 1, 2018;Aug 1, 2018;-;-;52.94;52.14;53.37;51.41;53.29;51.50;-;-;53.21;50.51;49.69;49.54;61.01;51.48;50.95
Aug 1, 2018;Sep 1, 2018;-;-;60.67;55.69;56.84;58.40;57.99;50.69;-;-;55.85;58.14;57.72;56.19;65.43;60.83;60.45
Sep 1, 2018;Oct 1, 2018;-;-;68.77;49.89;51.79;61.97;63.32;46.40;-;-;50.43;61.53;55.89;54.83;76.53;64.13;62.94
Oct 1, 2018;Nov 1, 2018;53.11;-;76.00;47.48;50.90;65.63;59.94;41.77;61.66;-;51.19;72.95;56.16;-;75.26;64.06;64.47
Nov 1, 2018;Dec 1, 2018;56.68;-;77.75;54.04;54.68;67.80;62.28;48.01;61.82;-;53.93;65.18;58.61;-;66.88;63.06;63.65
Dec 1, 2018;Jan 1, 2019;48.13;-;59.65;46.70;49.11;54.90;59.63;51.77;56.35;-;51.46;57.70;51.74;-;64.48;62.46;65.07
Jan 1, 2019;Feb 1, 2019;49.39;-;60.50;50.30;51.66;61.16;58.33;55.56;56.01;-;54.91;62.33;55.34;-;67.61;68.76;73.23
Feb 1, 2019;Mar 1, 2019;42.82;-;47.58;42.81;43.93;46.62;46.86;46.28;46.04;-;46.09;48.76;45.11;-;57.28;49.70;49.56
Mar 1, 2019;Apr 1, 2019;30.63;-;37.63;33.59;35.64;33.86;40.52;42.02;33.08;-;39.54;35.78;33.05;-;53.57;39.59;39.72
Apr 1, 2019;May 1, 2019;36.96;-;37.91;39.07;39.89;38.08;40.82;41.34;37.73;-;39.92;38.66;38.00;-;53.32;45.61;46.47
May 1, 2019;Jun 1, 2019;37.84;-;38.01;37.43;38.15;37.21;40.20;39.46;37.93;-;36.03;38.07;37.87;-;49.68;41.32;42.12
Jun 1, 2019;Jul 1, 2019;32.52;-;27.50;32.88;33.62;29.26;36.24;30.21;34.60;-;27.71;31.87;33.86;-;44.81;39.97;41.31
Jul 1, 2019;Aug 1, 2019;39.69;-;37.73;38.82;39.00;37.66;39.59;34.99;40.05;-;37.34;37.88;42.02;-;50.65;51.25;54.95
Aug 1, 2019;Sep 1, 2019;36.85;-;33.72;37.87;39.49;33.39;37.44;34.73;37.71;-;38.64;33.87;39.79;-;45.23;54.59;58.69
Sep 1, 2019;Oct 1, 2019;35.75;-;33.57;35.38;37.32;35.54;36.57;30.04;38.04;-;36.56;37.43;39.72;-;50.69;55.33;55.70
Oct 1, 2019;Nov 1, 2019;36.94;-;37.60;38.26;41.50;38.60;37.94;36.70;38.98;-;42.09;39.97;38.72;-;52.14;55.22;56.96
Nov 1, 2019;Dec 1, 2019;41.00;-;44.40;41.75;42.70;45.94;42.71;42.21;42.74;-;42.31;45.94;41.98;-;48.06;43.84;43.93
Dec 1, 2019;Jan 1, 2020;31.97;37.73;36.36;34.04;35.35;36.46;37.39;37.91;38.11;44.56;36.70;40.85;37.27;-;42.28;39.51;41.08
Jan 1, 2020;Feb 1, 2020;35.03;35.05;37.88;24.99;27.39;38.01;37.10;24.63;40.70;44.14;26.39;42.55;41.81;-;45.89;50.25;52.96
