Start date;End date;Net export [MWh] Calculated resolutions;Netherlands (export) [MWh] Calculated resolutions;Netherlands (import) [MWh] Calculated resolutions;Switzerland (export) [MWh] Calculated resolutions;Switzerland (import) [MWh] Calculated resolutions;Denmark (export) [MWh] Calculated resolutions;Denmark (import) [MWh] Calculated resolutions;Czech Republic (export) [MWh] Calculated resolutions;Czech Republic (import) [MWh] Calculated resolutions;Luxembourg (export) [MWh] Calculated resolutions;Luxembourg (import) [MWh] Calculated resolutions;Sweden (export) [MWh] Calculated resolutions;Sweden (import) [MWh] Calculated resolutions;Austria (export) [MWh] Calculated resolutions;Austria (import) [MWh] Calculated resolutions;France (export) [MWh] Calculated resolutions;France (import) [MWh] Calculated resolutions;Poland (export) [MWh] Calculated resolutions;Poland (import) [MWh] Calculated resolutions;Norway (export) [MWh] Calculated resolutions;Norway (import) [MWh] Calculated resolutions;Belgium (export) [MWh] Calculated resolutions;Belgium (import) [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;5,713,603.00;1,265,754.00;-51,614.00;757,470.00;-43,213.00;391,867.00;-392,164.00;456,740.00;-1,130,938.00;362,128.00;-2,182.00;39,532.00;-133,596.00;4,121,012.00;-1,267,707.00;1,484,411.00;-109,407.00;19,103.00;-82,452.00;-;-;-;-
Feb 1, 2015;Mar 1, 2015;5,368,814.00;1,303,100.00;-81,723.00;888,185.00;-26,429.00;101,449.00;-530,544.00;359,498.00;-1,224,892.00;347,371.00;-3,470.00;5,996.00;-192,380.00;3,914,936.00;-893,256.00;1,615,489.00;-65,006.00;16,857.00;-166,367.00;-;-;-;-
Mar 1, 2015;Apr 1, 2015;5,958,582.00;1,547,025.00;-25,659.00;1,014,578.00;-108,611.00;290,947.00;-486,663.00;377,018.00;-1,256,614.00;367,722.00;-2,851.00;19,195.00;-159,091.00;3,926,857.00;-1,022,193.00;1,671,004.00;-68,213.00;17,664.00;-143,533.00;-;-;-;-
Apr 1, 2015;May 1, 2015;4,402,075.00;1,433,012.00;-22,801.00;1,017,758.00;-276,935.00;269,554.00;-371,117.00;387,560.00;-1,129,707.00;337,960.00;-2,662.00;22,316.00;-180,703.00;3,086,610.00;-1,557,377.00;1,611,588.00;-178,621.00;34,213.00;-78,573.00;-;-;-;-
May 1, 2015;Jun 1, 2015;1,805,201.00;1,768,220.00;-20,997.00;680,762.00;-1,641,117.00;286,847.00;-356,602.00;496,020.00;-775,649.00;336,363.00;-1,258.00;30,482.00;-102,062.00;2,994,560.00;-2,190,853.00;831,318.00;-573,578.00;47,979.00;-5,234.00;-;-;-;-
Jun 1, 2015;Jul 1, 2015;2,766,226.00;2,019,056.00;-40,397.00;934,180.00;-1,187,452.00;40,595.00;-663,585.00;724,612.00;-750,452.00;336,825.00;-744.00;371.00;-119,120.00;3,039,697.00;-1,624,994.00;586,157.00;-526,188.00;22,592.00;-24,927.00;-;-;-;-
Jul 1, 2015;Aug 1, 2015;3,352,841.00;1,509,002.00;-86,305.00;1,037,628.00;-1,103,279.00;38,475.00;-594,019.00;559,122.00;-445,254.00;361,158.00;-472.00;849.00;-189,830.00;3,553,074.00;-929,551.00;537,418.00;-784,440.00;4,376.00;-115,111.00;-;-;-;-
Aug 1, 2015;Sep 1, 2015;3,552,303.00;1,744,667.00;-22,867.00;920,936.00;-880,383.00;100,720.00;-405,933.00;324,249.00;-626,788.00;337,748.00;-147.00;6,514.00;-253,531.00;3,577,345.00;-968,379.00;328,497.00;-619,409.00;2,038.00;-43,167.00;-;-;-;-
Sep 1, 2015;Oct 1, 2015;5,770,497.00;1,089,736.00;-20,997.00;1,154,426.00;-230,426.00;94,966.00;-344,113.00;514,858.00;-382,014.00;355,138.00;-1,649.00;2,943.00;-78,238.00;3,844,000.00;-722,720.00;758,518.00;-248,105.00;1,000.00;-16,826.00;-;-;-;-
Oct 1, 2015;Nov 1, 2015;4,574,710.00;919,472.00;-84,495.00;1,050,269.00;-144,918.00;26,173.00;-546,321.00;380,005.00;-465,250.00;377,165.00;-1,018.00;2,050.00;-318,305.00;3,678,897.00;-960,236.00;1,018,458.00;-265,756.00;1,935.00;-93,415.00;-;-;-;-
