Start date;End date;Volume (+) [MWh] Calculated resolutions;Volume (-) [MWh] Calculated resolutions;Price [€/MWh] Calculated resolutions;Net income [€] Original resolutions
Jan 1, 2015;Feb 1, 2015;148,535.00;-132,570.00;23.11;16,174,027.47
Feb 1, 2015;Mar 1, 2015;140,210.00;-99,280.00;30.18;9,318,801.17
Mar 1, 2015;Apr 1, 2015;176,631.00;-132,374.00;19.51;25,765,259.67
Apr 1, 2015;May 1, 2015;152,621.00;-122,108.00;18.33;18,405,234.70
May 1, 2015;Jun 1, 2015;212,728.00;-88,223.00;14.22;21,734,401.72
Jun 1, 2015;Jul 1, 2015;233,137.00;-49,208.00;35.23;14,848,443.73
Jul 1, 2015;Aug 1, 2015;226,793.00;-78,635.00;48.68;33,121,371.36
Aug 1, 2015;Sep 1, 2015;189,672.00;-50,350.00;41.67;16,240,170.49
Sep 1, 2015;Oct 1, 2015;164,873.00;-71,225.00;37.31;14,065,679.82
Oct 1, 2015;Nov 1, 2015;203,413.00;-44,869.00;42.19;16,191,037.69
Nov 1, 2015;Dec 1, 2015;145,674.00;-74,601.00;35.81;15,386,366.58
Dec 1, 2015;Jan 1, 2016;82,692.00;-123,459.00;13.63;11,636,728.79
Jan 1, 2016;Feb 1, 2016;209,396.00;-62,156.00;32.92;13,850,269.75
Feb 1, 2016;Mar 1, 2016;147,573.00;-76,806.00;18.88;7,822,367.56
Mar 1, 2016;Apr 1, 2016;187,133.00;-80,946.00;20.02;9,271,458.40
Apr 1, 2016;May 1, 2016;169,597.00;-71,052.00;22.10;8,498,352.72
May 1, 2016;Jun 1, 2016;245,665.00;-74,075.00;25.48;16,482,662.26
Jun 1, 2016;Jul 1, 2016;244,524.00;-40,308.00;29.90;11,283,656.17
Jul 1, 2016;Aug 1, 2016;238,574.00;-44,584.00;29.55;12,353,072.79
Aug 1, 2016;Sep 1, 2016;196,536.00;-66,455.00;24.25;9,261,976.62
Sep 1, 2016;Oct 1, 2016;222,220.00;-46,030.00;28.78;11,169,965.92
Oct 1, 2016;Nov 1, 2016;225,968.00;-64,058.00;37.52;15,125,339.14
Nov 1, 2016;Dec 1, 2016;172,648.00;-68,031.00;40.55;12,555,127.44
Dec 1, 2016;Jan 1, 2017;188,389.00;-75,975.00;43.31;17,287,914.15
Jan 1, 2017;Feb 1, 2017;218,922.00;-47,618.00;73.58;33,605,116.45
Feb 1, 2017;Mar 1, 2017;110,881.00;-118,142.00;30.47;11,053,250.64
Mar 1, 2017;Apr 1, 2017;125,355.00;-146,408.00;18.67;14,147,440.19
Apr 1, 2017;May 1, 2017;173,713.00;-104,404.00;19.83;16,889,054.63
May 1, 2017;Jun 1, 2017;206,537.00;-64,300.00;36.16;14,468,638.33
Jun 1, 2017;Jul 1, 2017;188,615.00;-97,099.00;28.42;12,442,842.85
Jul 1, 2017;Aug 1, 2017;187,655.00;-76,071.00;27.08;9,866,535.17
Aug 1, 2017;Sep 1, 2017;204,948.00;-90,282.00;31.48;12,546,498.14
Sep 1, 2017;Oct 1, 2017;169,047.00;-71,588.00;32.65;9,923,267.36
Oct 1, 2017;Nov 1, 2017;148,966.00;-112,442.00;41.00;23,220,836.10
Nov 1, 2017;Dec 1, 2017;132,549.00;-97,876.00;35.92;12,983,499.45
Dec 1, 2017;Jan 1, 2018;132,452.00;-107,124.00;23.53;15,633,447.23
Jan 1, 2018;Feb 1, 2018;172,620.00;-76,368.00;28.08;14,170,902.30
Feb 1, 2018;Mar 1, 2018;209,975.00;-43,451.00;39.29;14,650,736.04
Mar 1, 2018;Apr 1, 2018;233,521.00;-68,856.00;44.32;18,317,558.90
Apr 1, 2018;May 1, 2018;145,531.00;-125,628.00;24.68;13,545,616.52
May 1, 2018;Jun 1, 2018;222,828.00;-78,141.00;34.71;17,458,291.50
Jun 1, 2018;Jul 1, 2018;208,797.00;-74,548.00;40.91;15,097,200.84
Jul 1, 2018;Aug 1, 2018;112,137.00;-96,476.00;52.23;13,411,515.54
Aug 1, 2018;Sep 1, 2018;151,162.00;-135,983.00;52.69;17,436,210.24
Sep 1, 2018;Oct 1, 2018;131,371.00;-135,300.00;53.50;13,267,765.09
Oct 1, 2018;Nov 1, 2018;198,942.00;-119,851.00;53.16;15,037,194.69
Nov 1, 2018;Dec 1, 2018;179,724.00;-128,119.00;54.08;9,018,186.09
Dec 1, 2018;Jan 1, 2019;168,425.00;-172,279.00;43.81;10,401,321.34
Jan 1, 2019;Feb 1, 2019;236,453.00;-94,389.00;54.23;18,042,425.78
