Start date;End date;Net export [MWh] Calculated resolutions;Netherlands (export) [MWh] Calculated resolutions;Netherlands (import) [MWh] Calculated resolutions;Switzerland (export) [MWh] Calculated resolutions;Switzerland (import) [MWh] Calculated resolutions;Denmark (export) [MWh] Calculated resolutions;Denmark (import) [MWh] Calculated resolutions;Czech Republic (export) [MWh] Calculated resolutions;Czech Republic (import) [MWh] Calculated resolutions;Luxembourg (export) [MWh] Calculated resolutions;Luxembourg (import) [MWh] Calculated resolutions;Sweden (export) [MWh] Calculated resolutions;Sweden (import) [MWh] Calculated resolutions;Austria (export) [MWh] Calculated resolutions;Austria (import) [MWh] Calculated resolutions;France (export) [MWh] Calculated resolutions;France (import) [MWh] Calculated resolutions;Poland (export) [MWh] Calculated resolutions;Poland (import) [MWh] Calculated resolutions;Norway (export) [MWh] Calculated resolutions;Norway (import) [MWh] Calculated resolutions;Belgium (export) [MWh] Calculated resolutions;Belgium (import) [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;-;1,791,563.00;0.00;-;-;-;-;529,789.00;-691,601.00;-;-;37,231.00;-139,176.00;1,546,204.00;0.00;11,372.00;-929,578.00;-;-;-;-;-;-
Feb 1, 2015;Mar 1, 2015;-;1,828,762.00;0.00;1,993,201.00;-25,287,462.00;141,998.00;-516,663.00;367,482.00;-649,286.00;-;-;6,473.00;-187,708.00;1,582,502.00;0.00;45,614.00;-340,212.00;819,847.00;-194.00;-;-;-;-
Mar 1, 2015;Apr 1, 2015;-;2,299,380.00;0.00;1,659,660.00;-211,898.00;297,225.00;-474,710.00;288,308.00;-651,698.00;-;-;18,517.00;-149,529.00;1,502,565.00;-373.00;171,007.00;-215,701.00;899,932.00;-27.00;-;-;-;-
Apr 1, 2015;May 1, 2015;-;1,893,390.00;0.00;1,090,968.00;-144,969.00;271,397.00;-357,764.00;140,608.00;-631,339.00;-;-;21,493.00;-174,302.00;1,071,426.00;-2,926.00;415,512.00;-187,130.00;563,083.00;-10,113.00;-;-;-;-
May 1, 2015;Jun 1, 2015;-;2,025,672.00;0.00;186,665.00;-740,323.00;302,001.00;-347,214.00;220,730.00;-352,793.00;-;-;30,038.00;-100,570.00;525,410.00;-108,104.00;37,004.00;-1,067,296.00;719,136.00;-5,056.00;-;-;-;-
Jun 1, 2015;Jul 1, 2015;-;2,590,879.00;0.00;276,215.00;-422,130.00;66,331.00;-669,606.00;313,223.00;-242,248.00;-;-;928.00;-117,674.00;657,807.00;-28,513.00;45,369.00;-1,092,834.00;798,642.00;-427.00;-;-;-;-
Jul 1, 2015;Aug 1, 2015;-;1,926,728.00;-6,063.00;564,536.00;-261,101.00;126,601.00;-570,112.00;783,105.00;-354,308.00;-;-;1,358.00;-187,177.00;912,684.00;-27,824.00;43,349.00;-1,362,821.00;912,435.00;-87.00;-;-;-;-
Aug 1, 2015;Sep 1, 2015;-;2,302,859.00;0.00;701,825.00;-239,254.00;184,294.00;-399,244.00;626,356.00;-446,436.00;-;-;6,489.00;-250,965.00;825,663.00;-36,212.00;8,686.00;-1,543,931.00;940,926.00;-181.00;-;-;-;-
Sep 1, 2015;Oct 1, 2015;-;2,142,705.00;0.00;1,305,200.00;-197,715.00;179,617.00;-311,465.00;668,649.00;-442,813.00;-;-;2,894.00;-77,797.00;1,190,319.00;-1,550.00;13,897.00;-856,986.00;1,114,217.00;0.00;-;-;-;-
Oct 1, 2015;Nov 1, 2015;-;2,011,715.00;-900.00;1,815,851.00;-278,435.00;129,750.00;-521,210.00;614,170.00;-505,806.00;-;-;2,037.00;-309,939.00;1,127,164.00;-4,235.00;606.00;-1,337,482.00;1,074,794.00;-190.00;-;-;-;-
Nov 1, 2015;Dec 1, 2015;-;1,462,750.00;-5,013.00;2,455,154.00;-430,230.00;352,253.00;-324,164.00;844,486.00;-708,064.00;-;-;11,851.00;-105,697.00;1,661,431.00;-6.00;0.00;-1,357,561.00;1,074,513.00;-258.00;-;-;-;-
Dec 1, 2015;Jan 1, 2016;-;1,437,193.00;-14,528.00;2,823,950.00;-463,701.00;424,139.00;-258,116.00;929,911.00;-470,681.00;-;-;8,959.00;-104,138.00;1,924,675.00;0.00;4,055.00;-1,192,638.00;998,269.00;-12.00;-;-;-;-
Jan 1, 2016;Feb 1, 2016;-;1,326,254.00;-11,538.00;2,682,667.00;-446,592.00;414,985.00;-220,558.00;852,738.00;-319,120.00;-;-;34,838.00;-98,392.00;1,987,098.00;0.00;1,093.00;-1,302,329.00;1,272,057.00;-24.00;-;-;-;-
Feb 1, 2016;Mar 1, 2016;-;1,393,276.00;-5,257.00;2,326,402.00;-339,759.00;424,371.00;-286,222.00;407,013.00;-654,710.00;-;-;22,301.00;-205,256.00;1,250,157.00;-187.00;69,346.00;-636,351.00;927,146.00;-1,391.00;-;-;-;-
Mar 1, 2016;Apr 1, 2016;-;1,295,647.00;-3,649.00;2,285,999.00;-273,169.00;265,041.00;-359,203.00;422,964.00;-741,897.00;-;-;17,354.00;-250,590.00;1,448,870.00;-279.00;102,229.00;-533,225.00;874,149.00;-3,092.00;-;-;-;-
Apr 1, 2016;May 1, 2016;-;1,388,053.00;-11,513.00;837,028.00;-214,416.00;358,617.00;-211,532.00;486,486.00;-428,670.00;-;-;24,352.00;-141,402.00;927,305.00;-9,351.00;147,032.00;-870,932.00;807,673.00;-1,657.00;-;-;-;-
May 1, 2016;Jun 1, 2016;-;1,648,726.00;-801.00;294,434.00;-467,134.00;538,843.00;-276,208.00;282,542.00;-340,611.00;-;-;57,091.00;-153,298.00;800,054.00;-17,280.00;125,480.00;-791,621.00;856,372.00;-3,384.00;-;-;-;-
Jun 1, 2016;Jul 1, 2016;-;1,307,831.00;-2,918.00;287,712.00;-683,321.00;789,820.00;-58,518.00;169,436.00;-277,488.00;-;-;201,338.00;-9,866.00;333,857.00;-104,013.00;13,016.00;-1,275,989.00;645,620.00;-5,236.00;-;-;-;-
Jul 1, 2016;Aug 1, 2016;-;1,530,688.00;-297.00;563,071.00;-266,421.00;445,282.00;-267,058.00;443,133.00;-468,941.00;-;-;89,991.00;-86,282.00;464,534.00;-121,447.00;88,405.00;-548,067.00;618,067.00;-25,771.00;-;-;-;-
Aug 1, 2016;Sep 1, 2016;-;980,221.00;-93,815.00;1,118,838.00;-214,526.00;663,405.00;-121,419.00;406,405.00;-253,385.00;-;-;137,341.00;-44,199.00;836,588.00;-31,392.00;154,697.00;-630,864.00;587,330.00;-31,322.00;-;-;-;-
Sep 1, 2016;Oct 1, 2016;-;1,243,142.00;-23,520.00;1,638,911.00;-235,983.00;342,452.50;-219,175.00;856,917.00;-146,290.00;-;-;49,365.00;-55,559.00;1,253,044.00;-7,275.00;119,831.00;-375,354.00;662,009.00;-45,183.00;-;-;-;-
Oct 1, 2016;Nov 1, 2016;-;1,138,559.00;-26,938.00;1,942,428.00;-264,876.00;264,238.50;-222,854.00;682,357.00;-290,051.00;-;-;55,196.00;-101,022.00;1,234,235.00;-17,766.00;400,980.00;-125,907.00;643,263.00;-56,381.00;-;-;-;-
Nov 1, 2016;Dec 1, 2016;-;1,349,667.00;-3,160.00;2,337,768.00;-346,145.00;378,400.00;-96,464.50;536,111.00;-576,656.00;-;-;95,170.00;-73,658.00;1,125,957.00;-12,727.00;329,194.00;-265,411.00;506,867.00;-40,604.00;-;-;-;-
Dec 1, 2016;Jan 1, 2017;-;1,183,610.00;-6,920.00;2,418,275.00;-400,568.00;352,119.00;-424,295.00;883,503.00;-576,236.00;-;-;11,624.00;-236,711.00;1,148,583.00;-29,057.00;455,762.00;-194,497.00;693,406.00;-55,455.00;-;-;-;-
Jan 1, 2017;Feb 1, 2017;-;1,069,830.00;-10,078.00;2,550,298.00;-397,644.00;180,091.00;-515,007.00;836,143.00;-649,377.00;-;-;4,695.00;-318,818.00;1,386,417.00;-7,097.00;376,682.00;-479,788.00;727,012.00;-48,943.00;-;-;-;-
Feb 1, 2017;Mar 1, 2017;-;1,035,010.00;-22,750.00;2,726,388.00;-389,749.00;323,857.00;-396,855.00;930,566.00;-632,004.00;-;-;6,837.00;-266,894.00;1,664,184.00;-563.00;17,474.00;-864,530.00;673,438.00;-57,092.00;-;-;-;-
Mar 1, 2017;Apr 1, 2017;-;1,353,461.00;-13,656.00;2,036,939.00;-300,365.00;332,039.00;-563,570.00;624,278.00;-728,229.00;-;-;27,335.00;-192,220.00;1,479,859.00;-1,970.00;78,893.00;-762,479.00;688,536.00;-42,283.00;-;-;-;-
Apr 1, 2017;May 1, 2017;-;1,373,756.00;-421.00;978,343.00;-175,524.00;368,036.00;-559,701.00;599,916.00;-640,288.00;-;-;32,044.00;-161,044.00;1,337,111.00;-5.00;180,039.00;-334,419.00;689,623.00;-51,428.00;-;-;-;-
May 1, 2017;Jun 1, 2017;-;1,641,389.00;-1,350.00;733,076.00;-181,110.00;275,589.00;-492,089.00;691,996.00;-305,172.00;-;-;27,333.00;-226,541.00;1,168,463.00;-6,581.00;118,410.00;-643,622.00;684,801.00;-25,424.00;-;-;-;-
Jun 1, 2017;Jul 1, 2017;-;1,204,174.00;-31,862.00;775,354.00;-195,807.00;316,954.00;-477,140.00;1,151,941.00;-164,479.00;-;-;17,474.00;-175,206.00;1,324,842.00;-6,284.00;173,058.00;-395,599.00;602,961.00;-318.00;-;-;-;-
Jul 1, 2017;Aug 1, 2017;-;553,944.00;-268,535.00;952,204.00;-207,195.00;188,653.00;-581,092.00;940,597.00;-141,882.00;348,603.00;0.00;12,977.00;-242,196.00;1,075,163.00;-3,839.00;75,037.00;-899,041.00;658,385.00;0.00;-;-;-;-
Aug 1, 2017;Sep 1, 2017;-;1,181,014.00;-59,797.00;761,387.00;-348,289.00;447,728.00;-164,439.00;542,797.00;-292,165.00;335,212.00;0.00;61,891.00;-67,187.00;887,653.00;-38,053.00;118,278.00;-671,676.00;619,291.00;-1.00;-;-;-;-
Sep 1, 2017;Oct 1, 2017;-;1,505,999.00;-7,608.00;1,381,546.00;-244,795.00;271,852.00;-247,919.00;405,470.00;-524,529.00;349,359.00;0.00;312.00;-3,958.00;695,765.00;-30,237.00;181,911.00;-331,263.00;507,099.00;-82.00;-;-;-;-
Oct 1, 2017;Nov 1, 2017;-;1,198,430.00;-140.00;2,516,793.00;-345,231.00;562,636.00;-288,914.00;862,402.00;-544,081.00;379,337.00;0.00;29,538.00;-96,085.00;1,512,538.00;-1,564.00;208,271.00;-300,729.00;544,333.00;-260.00;-;-;-;-
Nov 1, 2017;Dec 1, 2017;-;937,297.00;-2,499.00;2,832,790.00;-397,847.00;330,957.00;-467,884.00;626,369.00;-530,198.00;362,822.00;0.00;9,086.00;-182,382.00;1,415,450.00;-11,488.00;429,636.00;-167,858.00;567,677.00;-12.00;-;-;-;-
Dec 1, 2017;Jan 1, 2018;-;1,141,827.00;-2,944.00;3,110,789.00;-4,784.00;525,177.00;-515,570.00;875,113.00;-421,560.00;358,439.00;0.00;23,980.00;-204,998.00;1,504,720.00;-2,496.00;208,362.00;-324,542.00;615,083.00;-308.00;-;-;-;-
Jan 1, 2018;Feb 1, 2018;-;1,367,629.00;-707.00;2,272,519.00;-1,246.00;551,426.00;-540,448.00;853,416.00;-324,180.00;350,599.00;0.00;33,206.00;-177,153.00;1,260,088.00;-6,414.00;52,785.00;-977,329.00;709,872.00;-427.00;-;-;-;-
Feb 1, 2018;Mar 1, 2018;-;1,283,553.00;-891.00;2,724,740.00;-13,066.00;310,470.00;-508,597.00;743,755.00;-323,477.00;368,493.00;0.00;37,070.00;-146,938.00;1,241,229.00;-10,589.00;290,570.00;-184,996.00;458,099.00;0.00;-;-;-;-
Mar 1, 2018;Apr 1, 2018;-;1,684,571.00;0.00;2,374,037.00;-5,395.00;711,423.00;-350,727.00;555,164.00;-631,478.00;361,850.00;0.00;39,499.00;-34,707.00;1,356,778.00;-3,341.00;169,681.00;-609,698.00;565,091.00;-2,301.00;-;-;-;-
