Start date;End date;Biomass [MW] Calculated resolutions;Hydropower [MW] Calculated resolutions;Wind offshore [MW] Calculated resolutions;Wind onshore [MW] Calculated resolutions;Photovoltaics [MW] Calculated resolutions;Other renewable [MW] Calculated resolutions;Nuclear [MW] Calculated resolutions;Lignite [MW] Calculated resolutions;Hard coal [MW] Calculated resolutions;Fossil gas [MW] Calculated resolutions;Hydro pumped storage [MW] Calculated resolutions;Other conventional [MW] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;6,808.00;-;-;37,701.00;37,271.00;-;-;-;-;31,734.00;-;-
Feb 1, 2015;Mar 1, 2015;6,808.00;-;-;37,701.00;37,271.00;-;-;-;-;31,734.00;-;-
Mar 1, 2015;Apr 1, 2015;6,808.00;-;-;37,701.00;37,271.00;-;-;-;-;31,734.00;-;-
Apr 1, 2015;May 1, 2015;6,808.00;-;-;37,701.00;37,271.00;-;-;-;-;31,734.00;-;-
May 1, 2015;Jun 1, 2015;6,808.00;-;-;37,701.00;37,271.00;-;-;-;-;31,734.00;-;-
Jun 1, 2015;Jul 1, 2015;6,808.00;-;-;37,701.00;37,271.00;-;-;-;-;31,734.00;-;-
Jul 1, 2015;Aug 1, 2015;6,808.00;-;-;37,701.00;37,271.00;-;-;-;-;31,734.00;-;-
Aug 1, 2015;Sep 1, 2015;6,808.00;-;-;37,701.00;37,271.00;-;-;-;-;31,734.00;-;-
Sep 1, 2015;Oct 1, 2015;6,808.00;-;-;37,701.00;37,271.00;-;-;-;-;31,734.00;-;-
Oct 1, 2015;Nov 1, 2015;6,808.00;-;-;37,701.00;37,271.00;-;-;-;-;31,734.00;-;-
Nov 1, 2015;Dec 1, 2015;6,808.00;-;-;37,701.00;37,271.00;-;-;-;-;31,734.00;-;-
Dec 1, 2015;Jan 1, 2016;6,808.00;-;-;37,701.00;37,271.00;-;-;-;-;31,734.00;-;-
Jan 1, 2016;Feb 1, 2016;6,815.00;-;-;41,168.00;38,686.00;-;-;-;-;32,398.00;-;-
Feb 1, 2016;Mar 1, 2016;6,815.00;-;-;41,168.00;38,686.00;-;-;-;-;32,398.00;-;-
Mar 1, 2016;Apr 1, 2016;6,815.00;-;-;41,168.00;38,686.00;-;-;-;-;32,398.00;-;-
Apr 1, 2016;May 1, 2016;6,815.00;-;-;41,168.00;38,686.00;-;-;-;-;32,398.00;-;-
May 1, 2016;Jun 1, 2016;6,815.00;-;-;41,168.00;38,686.00;-;-;-;-;32,398.00;-;-
Jun 1, 2016;Jul 1, 2016;6,815.00;-;-;41,168.00;38,686.00;-;-;-;-;32,398.00;-;-
Jul 1, 2016;Aug 1, 2016;6,815.00;-;-;41,168.00;38,686.00;-;-;-;-;32,398.00;-;-
Aug 1, 2016;Sep 1, 2016;6,815.00;-;-;41,168.00;38,686.00;-;-;-;-;32,398.00;-;-
Sep 1, 2016;Oct 1, 2016;6,815.00;-;-;41,168.00;38,686.00;-;-;-;-;32,398.00;-;-
Oct 1, 2016;Nov 1, 2016;6,815.00;-;-;41,168.00;38,686.00;-;-;-;-;32,398.00;-;-
Nov 1, 2016;Dec 1, 2016;6,815.00;-;-;41,168.00;38,686.00;-;-;-;-;32,398.00;-;-
Dec 1, 2016;Jan 1, 2017;6,815.00;-;-;41,168.00;38,686.00;-;-;-;-;32,398.00;-;-
Jan 1, 2017;Feb 1, 2017;7,080.00;-;-;47,042.00;40,834.00;-;-;-;-;32,627.00;-;-
Feb 1, 2017;Mar 1, 2017;7,080.00;-;-;47,042.00;40,834.00;-;-;-;-;32,627.00;-;-
Mar 1, 2017;Apr 1, 2017;7,080.00;-;-;47,042.00;40,834.00;-;-;-;-;32,627.00;-;-
Apr 1, 2017;May 1, 2017;7,080.00;-;-;47,042.00;40,834.00;-;-;-;-;32,627.00;-;-
May 1, 2017;Jun 1, 2017;7,080.00;-;-;47,042.00;40,834.00;-;-;-;-;32,627.00;-;-
Jun 1, 2017;Jul 1, 2017;7,080.00;-;-;47,042.00;40,834.00;-;-;-;-;32,627.00;-;-
Jul 1, 2017;Aug 1, 2017;7,080.00;-;-;47,042.00;40,834.00;-;-;-;-;32,627.00;-;-
Aug 1, 2017;Sep 1, 2017;7,080.00;-;-;47,042.00;40,834.00;-;-;-;-;32,627.00;-;-
Sep 1, 2017;Oct 1, 2017;7,080.00;-;-;47,042.00;40,834.00;-;-;-;-;32,627.00;-;-
Oct 1, 2017;Nov 1, 2017;7,080.00;-;-;47,042.00;40,834.00;-;-;-;-;32,627.00;-;-
Nov 1, 2017;Dec 1, 2017;7,080.00;-;-;47,042.00;40,834.00;-;-;-;-;32,627.00;-;-
Dec 1, 2017;Jan 1, 2018;7,080.00;-;-;47,042.00;40,834.00;-;-;-;-;32,627.00;-;-
Jan 1, 2018;Feb 1, 2018;7,073.00;-;-;51,633.00;42,804.00;-;-;-;-;30,232.00;-;-
Feb 1, 2018;Mar 1, 2018;7,073.00;-;-;51,633.00;42,804.00;-;-;-;-;30,232.00;-;-
